Ward Code,Borough,Ward,b_w,All people,White,Mixed,Asian,Black,Chinese/Other,White British,White Irish,White Other White,Mixed White and Black Caribbean,Mixed White and Black African,Mixed White and Asian,Mixed Other Mixed,Asian or Asian British Indian,Asian or Asian British Pakistani,Asian or Asian British Bangladeshi,Asian or Asian British Other Asian,Black or Black British Black Caribbean,Black or Black British Black African,Black or Black British Other Black,Chinese or other ethnic group Chinese,Chinese or other ethnic group Other Ethnic Group,% White,% Mixed,% Asian,% Black,% Chinese/Other,% White British,% White Irish,% White Other White,% Mixed White and Black Caribbean,% Mixed White and Black African,% Mixed White and Asian,% Mixed Other Mixed,% Asian or Asian British Indian,% Asian or Asian British Pakistani,% Asian or Asian British Bangladeshi,% Asian or Asian British Other Asian,% Black or Black British Black Caribbean,% Black or Black British Black African,% Black or Black British Other Black,% Chinese or other ethnic group Chinese,% Chinese or other ethnic group Other Ethnic Group
00AMGJ,Hackney,Haggerston,HackneyHaggerston,10366,5756,470,738,2986,416,4273,218,1265,162,115,71,122,177,65,449,47,950,1776,260,191,225,55.5,4.5,7.1,28.8,4,41.2,2.1,12.2,1.6,1.1,0.7,1.2,1.7,0.6,4.3,0.5,9.2,17.1,2.5,1.8,2.2
00AMGK,Hackney,Hoxton,HackneyHoxton,10698,6782,417,521,2585,393,5135,357,1290,128,99,72,118,164,39,220,98,666,1726,193,154,239,63.4,3.9,4.9,24.2,3.7,48,3.3,12.1,1.2,0.9,0.7,1.1,1.5,0.4,2.1,0.9,6.2,16.1,1.8,1.4,2.2
00AMGL,Hackney,King`s Park,HackneyKing`s Park,10964,5258,529,889,4003,285,3829,303,1126,253,110,70,96,373,132,291,93,1655,1904,444,149,136,48,4.8,8.1,36.5,2.6,34.9,2.8,10.3,2.3,1,0.6,0.9,3.4,1.2,2.7,0.8,15.1,17.4,4,1.4,1.2
00AMGM,Hackney,Leabridge,HackneyLeabridge,9857,4928,487,1857,2403,182,3775,269,884,163,97,97,130,1074,259,402,122,1222,942,239,37,145,50,4.9,18.8,24.4,1.8,38.3,2.7,9,1.7,1,1,1.3,10.9,2.6,4.1,1.2,12.4,9.6,2.4,0.4,1.5
00AMGN,Hackney,Lordship,HackneyLordship,11299,8293,413,661,1594,338,6135,328,1830,142,54,100,117,296,72,205,88,791,655,148,76,262,73.4,3.7,5.9,14.1,3,54.3,2.9,16.2,1.3,0.5,0.9,1,2.6,0.6,1.8,0.8,7,5.8,1.3,0.7,2.3
00AMGP,Hackney,New River,HackneyNew River,11504,7481,413,857,2310,443,5108,330,2043,120,97,94,102,383,80,274,120,890,1261,159,105,338,65,3.6,7.4,20.1,3.9,44.4,2.9,17.8,1,0.8,0.8,0.9,3.3,0.7,2.4,1,7.7,11,1.4,0.9,2.9
00AMGQ,Hackney,Queensbridge,HackneyQueensbridge,10179,5954,505,557,2771,392,4497,336,1121,227,99,68,111,163,50,306,38,1252,1211,308,173,219,58.5,5,5.5,27.2,3.9,44.2,3.3,11,2.2,1,0.7,1.1,1.6,0.5,3,0.4,12.3,11.9,3,1.7,2.2
00AMGR,Hackney,Springfield,HackneySpringfield,10859,6805,420,1011,2305,318,4981,235,1589,170,57,81,112,511,109,287,104,1015,1080,210,64,254,62.7,3.9,9.3,21.2,2.9,45.9,2.2,14.6,1.6,0.5,0.7,1,4.7,1,2.6,1,9.3,9.9,1.9,0.6,2.3
00AMGS,Hackney,Stoke Newington Central,HackneyStoke Newington Central,10133,6031,456,1188,2193,265,4446,359,1226,167,60,115,114,499,233,331,125,1136,831,226,116,149,59.5,4.5,11.7,21.6,2.6,43.9,3.5,12.1,1.6,0.6,1.1,1.1,4.9,2.3,3.3,1.2,11.2,8.2,2.2,1.1,1.5
00AMGT,Hackney,Victoria,HackneyVictoria,12066,7599,504,878,2720,365,6059,404,1136,202,85,78,139,248,76,484,70,1085,1341,294,134,231,63,4.2,7.3,22.5,3,50.2,3.3,9.4,1.7,0.7,0.6,1.2,2.1,0.6,4,0.6,9,11.1,2.4,1.1,1.9
00AMGU,Hackney,Wick,HackneyWick,11049,6749,442,589,2847,422,5277,347,1125,193,81,58,110,164,71,266,88,1103,1403,341,160,262,61.1,4,5.3,25.8,3.8,47.8,3.1,10.2,1.7,0.7,0.5,1,1.5,0.6,2.4,0.8,10,12.7,3.1,1.4,2.4
00ANGA,Hammersmith and Fulham,Addison,Hammersmith and FulhamAddison,11185,8686,411,491,1297,300,6292,586,1808,123,71,121,96,210,126,37,118,628,564,105,78,222,77.7,3.7,4.4,11.6,2.7,56.3,5.2,16.2,1.1,0.6,1.1,0.9,1.9,1.1,0.3,1.1,5.6,5,0.9,0.7,2
00ANGB,Hammersmith and Fulham,Askew,Hammersmith and FulhamAskew,11886,8759,497,585,1736,309,6495,757,1507,184,82,111,120,212,125,116,132,943,621,172,69,240,73.7,4.2,4.9,14.6,2.6,54.6,6.4,12.7,1.5,0.7,0.9,1,1.8,1.1,1,1.1,7.9,5.2,1.4,0.6,2
00ANGC,Hammersmith and Fulham,Avonmore and Brook Green,Hammersmith and FulhamAvonmore and Brook Green,11522,8851,432,756,952,531,6012,533,2306,72,40,169,151,292,136,26,302,391,465,96,127,404,76.8,3.7,6.6,8.3,4.6,52.2,4.6,20,0.6,0.3,1.5,1.3,2.5,1.2,0.2,2.6,3.4,4,0.8,1.1,3.5
00ANGD,Hammersmith and Fulham,College Park and Old Oak,Hammersmith and FulhamCollege Park and Old Oak,7643,5017,343,464,1479,340,3783,480,754,122,75,55,91,185,120,30,129,818,531,130,65,275,65.6,4.5,6.1,19.4,4.4,49.5,6.3,9.9,1.6,1,0.7,1.2,2.4,1.6,0.4,1.7,10.7,6.9,1.7,0.9,3.6
00ANGE,Hammersmith and Fulham,Fulham Broadway,Hammersmith and FulhamFulham Broadway,10189,7987,386,531,962,323,6062,409,1516,127,68,83,108,165,160,87,119,394,449,119,130,193,78.4,3.8,5.2,9.4,3.2,59.5,4,14.9,1.2,0.7,0.8,1.1,1.6,1.6,0.9,1.2,3.9,4.4,1.2,1.3,1.9
